pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
in,"""Enhancing Efficiency and Conservation via Speech Processing in Lutyens's Delhi Residential Revitalization""",delhi,in,propio
in,DATA VISUALIZATION AS ARTISTIC EXPRESSION,bauhaus,de,ajeno
in,Development of innovative monitoring technologies in the framework of InnovaMare Project,venice,it,ajeno
in,Urban Stigma and Skepticism toward Prescribed Psychiatric Medications in India,delhi,in,propio
in,Whose bias gets coded? Psychology's role in decolonizing AI,liberation,za,ajeno
in,From Barbers to Bots: A Surgeon’s Odyssey,athens,gr,ajeno
it,Point Cloud Semantic Segmentation Using a Deep Learning Framework for Cultural Heritage,churches,in,ajeno
it,"Classification of rock slope cavernous weathering on UAV photogrammetric point clouds: The example of Hegra (UNESCO World Heritage Site, Kingdom of Saudi Arabia)",hegra archaeological site (al-hijr / mada in salih),sa,ajeno
it,Appraisal of Opportunities and Perspectives for the Systematic Condition Assessment of Heritage Sites with Copernicus Sentinel-2 High-Resolution Multispectral Imagery,cyrene,ly,ajeno
it,CHAT: a Cultural Heritage Adaptive Tutor,herculaneum,it,propio
it,Ontology-Based Photogrammetry Survey for Medieval Archaeology: Toward a 3D Geographic Information System (GIS),florence,it,propio
it,A Visual Attentive Model for Discovering Patterns in Eye-Tracking Data—A Proposal in Cultural Heritage,berlin,de,propio
it,Machine Learning for Cultural Heritage Classification,abbey,de,ajeno
it,Cultural heritage reuse applying fuzzy expert knowledge and machine learning: Venice’s fortresses case study,fortresses,co,propio
it,SURVEYING MEDIEVAL ARCHAEOLOGY: A NEW FORM FOR HARRIS PARADIGMLINKING PHOTOGRAMMETRY AND TEMPORAL RELATIONS,florence,it,propio
it,A Comparative Study of Vision Language Models for Italian Cultural Heritage,florence,it,propio
it,Open Big Earth Observation Data and Artificial Intelligence for the Study and Preservation of UNESCO Natural and Cultural Heritage: The Case of Machu Picchu,machu picchu,pe,ajeno
it,Emerging Trends and Future Directions in Artificial Intelligence for Museums: A Comprehensive Bibliometric Analysis Based on Scopus (1983-2024),human rights,za,ajeno
it,A fully customizable data management system for Built Cultural Heritage surveys through NDT,florence,it,propio
it,Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments,the dolomites,it,propio
it,A Collaborative Virtual Walkthrough of Matera’s Sassi Using Photogrammetric Reconstruction and Hand Gesture Navigation,sassi,it,propio
it,User Profiling and Context Understanding for Adaptive and Personalised Museum Experiences,florence,it,propio
it,FROM TLS SURVEY TO 3D SOLID MODELING FOR DOCUMENTATION OF BUILTHERITAGE: THE CASE STUDY OF PORTA SAVONAROLA IN PADUA,padua,it,propio
it,Building Semantic Segmentation Using UNet Convolutional Network on SpaceNet Public Data Sets for Monitoring Surrounding Area of Chan Chan (Peru),chan chan,pe,ajeno
it,Artificial Intelligence models for prediction of the tide level in Venice,venice,it,propio
it,Deep Artwork Detection and Retrieval for Automatic Context-Aware Audio Guides,florence,it,propio
it,"Semantic Enrichment of Architectural Heritage Point Clouds Using Artificial Intelligence: The Palacio de Sástago in Zaragoza, Spain",palacio,at;fr,ajeno
